Restaurant,Rating,Reviews,Price,City,State,ZipCode,Category
Bar Crudo,4.0,1793,3,San Francisco,CA,94117,Seafood
La Mar Cebichería Peruana,4.0,3394,3,San Francisco,CA,94111,Seafood
Thanh Long,4.0,2380,3,San Francisco,CA,94122,Seafood
The Slanted Door,3.5,5352,3,San Francisco,CA,94111,Vietnamese
Isa Restaurant,4.0,1937,3,San Francisco,CA,94123,French
Delfina,4.0,1972,3,San Francisco,CA,94110,Italian
DOSA on Fillmore,4.0,2782,3,San Francisco,CA,94115,Indian
Firefly Restaurant,4.0,1412,3,San Francisco,CA,94114,American (New)
La Ciccia,4.5,1018,3,San Francisco,CA,94131,Seafood
AsiaSF,4.0,1721,3,San Francisco,CA,94103,Asian Fusion
Zuni Café,4.0,2583,3,San Francisco,CA,94102,Italian
Frascati,4.5,1142,3,San Francisco,CA,94109,American (New)
Seven Hills,4.5,907,3,San Francisco,CA,94109,Italian
Hillstone,4.0,2039,3,San Francisco,CA,94111,American (New)
Blue Plate,4.0,1334,3,San Francisco,CA,94110,American (Traditional)
Tadich Grill,4.0,2191,3,San Francisco,CA,94111,Seafood
Perbacco,4.0,1929,3,San Francisco,CA,94111,Italian
Coqueta,4.0,1794,3,San Francisco,CA,94105,Spanish
Hakkasan,4.0,1553,3,San Francisco,CA,94108,American (New)
BIX,4.0,1694,3,San Francisco,CA,94133,American (Traditional)
Cafe Claude,4.0,1908,3,San Francisco,CA,94108,French
Koo,4.0,1069,3,San Francisco,CA,94122,Japanese
Waterbar,3.5,2783,3,San Francisco,CA,94105,Seafood
Park Tavern,4.0,1466,3,San Francisco,CA,94133,American (New)
Ruth's Chris Steak House,4.0,1949,3,San Francisco,CA,94109,Steakhouses
Stones Throw,4.5,846,3,San Francisco,CA,94109,American (New)
5A5 Steak Lounge,4.0,2017,3,San Francisco,CA,94111,Steakhouses
Bistro Central Parc,4.5,899,3,San Francisco,CA,94117,French
Roy's Restaurant,4.0,2184,3,San Francisco,CA,94105,Seafood
Saru Sushi Bar,4.5,754,3,San Francisco,CA,94114,Sushi Bars
Zushi Puzzle,4.0,1303,3,San Francisco,CA,94123,Sushi Bars
Bobo's,4.0,1939,3,San Francisco,CA,94123,Steakhouses
Trestle,4.5,722,3,San Francisco,CA,94133,American (New)
Gary Danko,4.5,4944,4,San Francisco,CA,94109,American (New)
La Folie,4.5,1416,4,San Francisco,CA,94109,French
Boulevard,4.0,2541,4,San Francisco,CA,94105,American (New)
KUSAKABE,4.5,750,4,San Francisco,CA,94111,Sushi Bars
Spruce,4.0,1785,4,San Francisco,CA,94118,American (Traditional)
Harris' Restaurant,4.0,1719,4,San Francisco,CA,94109,Steakhouses
Alexander's Steakhouse,4.0,1567,4,San Francisco,CA,94107,Steakhouses
Acquerello,4.5,1029,4,San Francisco,CA,94109,Italian
Benu,4.5,974,4,San Francisco,CA,94105,American (New)
Quince,4.0,1385,4,San Francisco,CA,94133,French
Roka Akor - San Francisco,4.0,1080,4,San Francisco,CA,94133,Steakhouses
Jardiniere,4.0,1594,4,San Francisco,CA,94102,French
Lazy Bear,4.5,493,4,San Francisco,CA,94110,American (New)
Atelier Crenn,4.5,640,4,San Francisco,CA,94123,French
Wako Japanese Restaurant,4.5,461,4,San Francisco,CA,94118,Japanese
Michael Mina,4.0,1148,4,San Francisco,CA,94111,Middle Eastern
Farallon,4.0,1512,4,San Francisco,CA,94102,Seafood
Campton Place,4.0,703,4,San Francisco,CA,94108,American (New)
Omakase,4.5,346,4,San Francisco,CA,94103,Sushi Bars
Hinata,4.5,329,4,San Francisco,CA,94109,Sushi Bars
Kiss Seafood,4.0,525,4,San Francisco,CA,94115,Japanese
Sons & Daughters,4.0,625,4,San Francisco,CA,94108,American (New)
Californios,4.5,244,4,San Francisco,CA,94110,Mexican
The Progress,4.0,727,4,San Francisco,CA,94115,American (New)
Keiko à Nob Hill,4.5,372,4,San Francisco,CA,94109,Japanese
jū-ni,4.5,225,4,San Francisco,CA,94117,Japanese
Saison,4.0,420,4,San Francisco,CA,94107,American (New)
Coi,4.0,739,4,San Francisco,CA,94133,American (New)
Ijji Sushi,4.5,161,4,San Francisco,CA,94117,Sushi Bars
Osso Steakhouse,3.5,649,4,San Francisco,CA,94108,Steakhouses
Sushi Hon,4.5,225,4,San Francisco,CA,94110,Japanese
Mister Jiu's,4.0,448,4,San Francisco,CA,94108,Chinese
Morton's The Steakhouse,3.5,1123,4,San Francisco,CA,94102,Steakhouses
Maruya,4.0,330,4,San Francisco,CA,94103,Japanese
Khai,4.5,115,4,San Francisco,CA,94103,Vietnamese
An Japanese Restaurant,4.5,116,4,San Francisco,CA,94115,Sushi Bars
OzaOza,4.5,81,4,San Francisco,CA,94115,Japanese
Petit Crenn,4.0,330,4,San Francisco,CA,94102,French
Robin,4.0,232,4,San Francisco,CA,94102,Sushi Bars
