Restaurant,ID,Rating,Reviews,Price,City,State,ZipCode,Category
Runza,u8cg2LgLQqGJAsQSLtgo6Q,5,3,1,David City,NE,68632,American (New)
Runza,t6pfp0TQU9hWjLOSFsxAfQ,3.5,8,1,Gretna,NE,68028,Fast Food
Russ & Daughters,VrCCr45dhN-RRM107iptdg,4.5,1837,2,New York,NY,10002,Bagels
Russ & Daughters,VrCCr45dhN-RRM107iptdg,4.5,1837,2,New York,NY,10002,Bagels
Russ & Daughters Cafe,0rQz8mkleT62eUkiAVs4UA,4,754,2,New York,NY,10002,Bagels
Rusty's Southern,wZv5s1J3xmUkO-x9b8_-yQ,4.5,777,2,San Francisco,CA,94109,Southern
Ruth's Chris Steak House,Kxwc8PIKy2JsegNwgBjAtA,4,1947,3,San Francisco,CA,94109,Steakhouses
Ruth's Chris Steak House,Kxwc8PIKy2JsegNwgBjAtA,4,1947,3,San Francisco,CA,94109,Steakhouses
Rye,GIm5jbvmymBNo_e7Y84efw,4,1285,2,San Francisco,CA,94102,Lounges
Ryoko's,mydKjdG8gJOcRQ9cZwkQpQ,4,2667,2,San Francisco,CA,94102,Sushi Bars
Saba's Pizza,srlZYFWcOjB_8cYY9yyr_A,3.5,77,1,New York,NY,10024,Pizza
Safari Cigars and Lounge,leV1ahj_52HtYwY7VBh3-A,4.5,23,2,Omaha,NE,68164,Tobacco Shops
Sahara food truck,U0sFfgxhatNKDX-F5xFQ3A,5,2,1,Omaha,NE,68131,Mediterranean
Sahara food truck,U0sFfgxhatNKDX-F5xFQ3A,5,2,1,Omaha,NE,68131,Mediterranean
Sai Jai Thai Restaurant,bGI_oq-DVPo2bWJZxDf9gw,4,854,1,San Francisco,CA,94109,Thai
Saigon Sandwich,hqQoVK0vadOX7_4gN1sh3g,4.5,3064,1,San Francisco,CA,94102,Vietnamese
Saigon Shack,7Qvh0oFRsoqrO9qNlcMKXQ,4,2138,1,New York,NY,10012,Sandwiches
Saigon Vietnamese Sandwich Deli,ocXYGC2oiGDJSzA7qu4SGw,4,577,1,New York,NY,10013,Sandwiches
Saiguette,sKIYGvENchifk1YwFe77pA,4,507,2,New York,NY,10025,Vietnamese
Saint Frank Coffee,AsmIi9jXkb9ACliVB4Fp9w,4.5,592,1,San Francisco,CA,94109,Coffee & Tea
Saison,XGHTrreDK35ciuA8R6naNQ,4,420,4,San Francisco,CA,94107,American (New)
SakaMai,wcwftlB-61XG4ymGTR61aw,4,544,3,New York,NY,10002,Japanese
SakaMai,wcwftlB-61XG4ymGTR61aw,4,544,3,New York,NY,10002,Japanese
Sakura Bana,NcRDiRnFaSYgVb9qXVSg7w,4,123,2,Omaha,NE,68114,Japanese
Sal & Carmine's Pizza,Qab4GBAxxjacF4KsXLFETA,3.5,308,1,New York,NY,10025,Pizza
Salt & Straw,_5Dzuo9r5vaXsqy8P9AlOQ,4.5,755,2,San Francisco,CA,94115,Ice Cream & Frozen Yogurt
Salt & Straw,_5Dzuo9r5vaXsqy8P9AlOQ,4.5,755,2,San Francisco,CA,94115,Ice Cream & Frozen Yogurt
Salt House,jk1T4xIb_FH_SsiVng43HA,3.5,1675,3,San Francisco,CA,94105,American (New)
Salumeria Rosi,C3E8CVVwzKtOv_sRR1WuRQ,4,428,3,New York,NY,10023,Italian
Sam & Gabes,77voCtPHfZ6Ai5S5dxv9cw,4,50,3,Des Moines,IA,50309,American (New)
Sam & Gabes,77voCtPHfZ6Ai5S5dxv9cw,4,50,3,Des Moines,IA,50309,American (New)
Sam & Gabes,77voCtPHfZ6Ai5S5dxv9cw,4,50,3,Des Moines,IA,50309,American (New)
Sam & Gabe's,Xj8ve8_47C_1SDVN1cKIsg,4,85,3,Urbandale,IA,50322,Italian
Sam & Gabe's,Xj8ve8_47C_1SDVN1cKIsg,4,85,3,Urbandale,IA,50322,Italian
